"geo","time","sector","GVA"
"FR",2019,"Paper, pulp and printing",9151.1
"FR",2019,"Textile and leather",5972.3
"FR",2019,"Transport equipment",27203.4
"FR",2019,"Wood and wood products",3133.9
"FR",2020,"Basic metals",6622
"FR",2020,"Chemical and petrochem.",32736.2
"FR",2020,"Coke and ref. pet. products",8783.4
"FR",2020,"Construction",94462.6
"FR",2020,"Food, bev. and tobacco",35433.3
"FR",2020,"Machinery",47904.2
"FR",2020,"Mining and quarrying",1802.1
"FR",2020,"Non-metallic minerals",15686.1
"FR",2020,"Other manufacturing",5706.2
"FR",2020,"Paper, pulp and printing",7890.7
"FR",2020,"Textile and leather",6093.4
"FR",2020,"Transport equipment",20820.1
"FR",2020,"Wood and wood products",2979
"FR",2021,"Basic metals",4373.2
"FR",2021,"Chemical and petrochem.",32067.4
"FR",2021,"Coke and ref. pet. products",5372.5
"FR",2021,"Construction",99820.9
"FR",2021,"Food, bev. and tobacco",39328.1
"FR",2021,"Machinery",52685.1
"FR",2021,"Mining and quarrying",2002
"FR",2021,"Non-metallic minerals",18173.1
"FR",2021,"Other manufacturing",6771
"FR",2021,"Paper, pulp and printing",8145.5
"FR",2021,"Textile and leather",6870.5
"FR",2021,"Transport equipment",24484.7
"FR",2021,"Wood and wood products",2878.6
